35453885,2024-11-04,14:30,2024-11-04 14:30,-28.7,-23,-22.5,2024-11-04,14:30,2024-11-04 14:30
35453886,2024-11-04,14:45,2024-11-04 14:45,-27.7,-22.9,-22.4,2024-11-04,14:45,
35453887,2024-11-04,15:00,2024-11-04 15:00,-26.7,-22.8,-22.3,2024-11-04,15:00,
35453888,2024-11-04,15:15,2024-11-04 15:15,-25.7,-22.7,-22.2,2024-11-04,15:15,
35453889,2024-11-04,15:30,2024-11-04 15:30,-24.7,-22.6,-22.1,2024-11-04,15:30,
35453890,2024-11-04,15:45,2024-11-04 15:45,-23.7,-22.5,-22,2024-11-04,15:45,
35453891,2024-11-04,16:00,2024-11-04 16:00,-22.7,-22.4,-21.9,2024-11-04,16:00,
35453892,2024-11-04,16:15,2024-11-04 16:15,-21.7,-22.3,-21.8,2024-11-04,16:15,
35453893,2024-11-04,16:30,2024-11-04 16:30,-21.5,-22.2,-21.7,2024-11-04,16:30,
35453894,2024-11-04,16:45,2024-11-04 16:45,-21.8,-22.1,-21.6,2024-11-04,16:45,
35453895,2024-11-04,17:00,2024-11-04 17:00,-22.1,-22,-21.5,2024-11-04,17:00,
35453896,2024-11-04,17:15,2024-11-04 17:15,-22.4,-21.9,-21.4,2024-11-04,17:15,
35453897,2024-11-04,17:30,2024-11-04 17:30,-22.7,-21.8,-21.3,2024-11-04,17:30,
35453898,2024-11-04,17:45,2024-11-04 17:45,-23,-21.7,-21.2,2024-11-04,17:45,
35453899,2024-11-04,18:00,2024-11-04 18:00,-23.3,-21.6,-21.1,2024-11-04,18:00,
35453900,2024-11-04,18:15,2024-11-04 18:15,-23.6,-21.5,-21,2024-11-04,18:15,
35453901,2024-11-04,18:30,2024-11-04 18:30,-23.9,-21.8,-21.3,2024-11-04,18:30,
35453902,2024-11-04,18:45,2024-11-04 18:45,-24.2,-22.1,-21.6,2024-11-04,18:45,
35453903,2024-11-04,19:00,2024-11-04 19:00,-24.5,-22.4,-21.9,2024-11-04,19:00,
35453904,2024-11-04,19:15,2024-11-04 19:15,-24.8,-22.7,-22.2,2024-11-04,19:15,
35453905,2024-11-04,19:30,2024-11-04 19:30,-25.1,-23,-22.5,2024-11-04,19:30,
35453906,2024-11-04,19:45,2024-11-04 19:45,-25,-22.9,-22.4,2024-11-04,19:45,
35453907,2024-11-04,20:00,2024-11-04 20:00,-24.9,-22.8,-22.3,2024-11-04,20:00,
35453908,2024-11-04,20:15,2024-11-04 20:15,-24.8,-22.7,-22.2,2024-11-04,20:15,
35453909,2024-11-04,20:30,2024-11-04 20:30,-24.7,-22.6,-22.1,2024-11-04,20:30,
35453910,2024-11-04,20:45,2024-11-04 20:45,-24.6,-22.5,-22,2024-11-04,20:45,
35453911,2024-11-04,21:00,2024-11-04 21:00,-24.5,-22.7,-22.2,2024-11-04,21:00,
35453912,2024-11-04,21:15,2024-11-04 21:15,-24.6,-22.9,-22.4,2024-11-04,21:15,
35453913,2024-11-04,21:30,2024-11-04 21:30,-24.7,-23.1,-22.6,2024-11-04,21:30,
35453914,2024-11-04,21:45,2024-11-04 21:45,-24.8,-23.3,-22.8,2024-11-04,21:45,
35453915,2024-11-04,22:00,2024-11-04 22:00,-24.5,-23.5,-23,2024-11-04,22:00,
35453916,2024-11-04,22:15,2024-11-04 22:15,-24.3,-23.9,-23.4,2024-11-04,22:15,
35453917,2024-11-04,22:30,2024-11-04 22:30,-24.4,-23.7,-23.2,2024-11-04,22:30,
35453918,2024-11-04,22:45,2024-11-04 22:45,-24.5,-23.5,-23,2024-11-04,22:45,
35453919,2024-11-04,23:00,2024-11-04 23:00,-24.6,-23.3,-22.8,2024-11-04,23:00,
35453920,2024-11-04,23:15,2024-11-04 23:15,-24.7,-23.1,-22.6,2024-11-04,23:15,
35453921,2024-11-04,23:30,2024-11-04 23:30,-24.8,-22.9,-22.4,2024-11-04,23:30,
35453922,2024-11-04,23:45,2024-11-04 23:45,-24.9,-22.7,-22.2,2024-11-04,23:45,
